Year,Country,Plastic_waste_generated,Plastic_waste_treated,Disposal - Total,Disposal - landfill and other,Disposal - incineration,Recovery - Total,Recovery - energy recovery,Recovery - recycling,Recovery - backfilling
2010,Belgium,716165,169210,15002,10515,4487,154208,10259,143949,0
2010,Bulgaria,59950,39690,3722,3682,40,35968,585,35383,0
2010,Czechia,253923,217867,50467,50349,118,167400,44676,78375,44349
2010,Denmark,78548,72125,2377,2377,0,69748,1275,68473,0
2010,Germany,2288466,1828623,54637,9641,44996,1773986,304122,1469864,0
2010,Estonia,25390,3349,519,519,0,2830,719,2111,0
2010,Ireland,335134,81073,163,163,0,80910,0,80910,0
2010,Greece,226992,156920,129581,129581,0,27339,0,27339,0
2010,Spain,1465233,1465233,314146,298908,15238,1151087,0,1151087,0
2010,France,1436697,1248697,212697,212697,0,1036000,750000,286000,0
2010,Croatia,24807,12393,1730,1598,132,10663,652,10011,0
2010,Italy,2141461,1778916,97154,73782,23372,1681762,12034,1669728,0
2010,Latvia,8116,29810,281,281,0,29529,0,29529,0
2010,Lithuania,39960,21509,3007,3007,0,18502,0,18502,0
2010,Luxembourg,27304,37544,0,0,0,37544,22225,15319,0
2010,Hungary,151480,75316,11739,8618,3121,63577,5496,58081,0
2010,Malta,3520,67,67,67,0,0,0,0,0
2010,Netherlands,518143,379076,10251,1282,8969,368825,86610,282215,0
2010,Austria,564604,193790,351,13,338,193439,126192,67247,0
2010,Poland,863236,339698,10452,10336,116,329246,17675,311571,0
2010,Portugal,165192,72359,10887,10847,40,61472,3596,57876,0
2010,Romania,407225,164308,6716,4860,1856,157592,17292,140300,0
2010,Slovenia,56280,43250,6129,5086,1043,37121,3998,33123,0
2010,Slovakia,111327,78890,23793,23728,65,55097,2756,52341,0
2010,Finland,71352,58715,15628,247,15381,43087,19724,23363,0
2010,Sweden,218839,130460,406,406,0,130054,84718,45336,0
2010,Iceland,4358,4359,10,10,0,4349,538,3811,0
2010,Norway,88845,74718,21678,11372,10306,53040,36604,16436,0
2010,United Kingdom,2031292,890959,53855,53855,0,837104,0,837104,0
2010,Montenegro,5418,2471,1918,1918,0,553,2,551,0
2010,North Macedonia,4031,3727,2382,2381,1,1345,0,1345,0
2010,Serbia,6820,731,189,189,0,542,1,541,0
2010,Türkiye,217310,188465,0,,0,186791,12360,174431,0
2012,Belgium,651775,233124,16116,12913,3203,217008,17540,199468,0
2012,Bulgaria,99922,72908,8359,8283,76,64549,3388,61161,0
2012,Czechia,325623,225430,45873,45620,253,179557,28248,118669,32640
2012,Denmark,104816,81198,6177,6177,0,75021,5310,69711,0
2012,Germany,2530498,2113040,32623,1964,30659,2080417,435955,1644462,0
2012,Estonia,22706,3225,337,337,0,2888,0,2888,0
2012,Ireland,121812,73774,527,527,0,73247,13,73234,0
2012,Greece,133232,82505,52612,52612,0,29893,601,29292,0
2012,Spain,1142921,1142921,80849,80849,0,1062072,0,1062072,0
2012,France,1646794,1933997,930640,930640,0,1003357,776211,227146,0
2012,Croatia,39186,21795,1532,1532,0,20263,0,20263,0
2012,Italy,2781865,1523286,75825,44201,31624,1447461,44405,1403056,0
2012,Latvia,21576,34849,290,290,0,34558,0,34558,0
2012,Lithuania,50638,30707,4711,4711,0,25996,72,25924,0
2012,Luxembourg,26329,17778,0,0,0,17778,6000,11778,0
2012,Hungary,185787,114380,15388,12573,2815,98992,7526,91466,0
2012,Malta,4359,55,55,55,0,0,0,0,0
2012,Netherlands,574632,476116,10095,7101,2994,466021,86340,379681,0
2012,Austria,357595,351934,298,0,298,351636,39845,311791,0
2012,Poland,969653,583262,10418,10182,236,572844,9312,563532,0
2012,Portugal,176396,70716,9667,9652,15,61049,2225,58824,0
2012,Romania,488164,242400,2689,2151,538,239711,12853,226858,0
2012,Slovenia,47777,38655,6543,4900,1643,32112,117,31995,0
2012,Slovakia,108140,68953,10960,10938,22,57993,1010,56983,0
2012,Finland,91349,52449,12010,1979,10031,40439,32047,8392,0
2012,Sweden,175836,201753,46,46,0,201707,105011,96696,0
2012,Iceland,6427,6427,66,66,0,6361,1458,4903,0
2012,Norway,157859,157430,3139,3139,0,154291,83801,70490,0
2012,United Kingdom,2378525,513460,122433,122433,0,391027,0,390807,220
2012,Montenegro,5418,2471,1918,1918,0,553,2,551,0
2012,North Macedonia,10860,13250,6010,6010,0,7240,0,7240,0
2012,Serbia,17854,2912,117,116,1,2796,0,2796,0
2012,Türkiye,214580,361662,8187,8058,129,328218,,328218,
2014,Belgium,1395458,253912,38256,22120,16136,215656,11624,204032,0
2014,Bulgaria,196124,196126,719,587,132,195407,877,194530,0
2014,Czechia,347929,265658,42151,41594,557,223507,45094,136857,41556
