,Year,Country,Plastic_waste_generated,Plastic_waste_treated,Disposal - Total,Disposal - landfill and other,Disposal - incineration,Recovery - Total,Recovery - energy recovery,Recovery - recycling,Recovery - backfilling,Population,Plastic_waste_generated_per_person
0,2010,Belgium,716165,169210,15002.0,10515.0,4487.0,154208,10259.0,143949,0.0,11000638,65.1021331671854
1,2010,Bulgaria,59950,39690,3722.0,3682.0,40.0,35968,585.0,35383,0.0,7369431,8.134956416580872
2,2010,Czechia,253923,217867,50467.0,50349.0,118.0,167400,44676.0,78375,44349.0,10486731,24.21374210895655
3,2010,Denmark,78548,72125,2377.0,2377.0,0.0,69748,1275.0,68473,0.0,5560628,14.125742631947325
4,2010,Germany,2288466,1828623,54637.0,9641.0,44996.0,1773986,304122.0,1469864,0.0,80222065,28.52664039500853
5,2010,Estonia,25390,3349,519.0,519.0,0.0,2830,719.0,2111,0.0,1329660,19.09510701983966
6,2010,Ireland,335134,81073,163.0,163.0,0.0,80910,0.0,80910,0.0,4570881,73.31934478276726
7,2010,Greece,226992,156920,129581.0,129581.0,0.0,27339,0.0,27339,0.0,11123392,20.406724855152095
8,2010,Spain,1465233,1465233,314146.0,298908.0,15238.0,1151087,0.0,1151087,0.0,46667174,31.39750866422723
9,2010,France,1436697,1248697,212697.0,212697.0,0.0,1036000,750000.0,286000,0.0,64978721,22.110268990982448
10,2010,Croatia,24807,12393,1730.0,1598.0,132.0,10663,652.0,10011,0.0,4289857,5.782710239525467
11,2010,Italy,2141461,1778916,97154.0,73782.0,23372.0,1681762,12034.0,1669728,0.0,59364690,36.07297536633308
12,2010,Latvia,8116,29810,281.0,281.0,0.0,29529,0.0,29529,0.0,2074605,3.9120700085076434
13,2010,Lithuania,39960,21509,3007.0,3007.0,0.0,18502,0.0,18502,0.0,3052588,13.090531706211253
14,2010,Luxembourg,27304,37544,0.0,0.0,0.0,37544,22225.0,15319,0.0,511840,53.34479524851516
15,2010,Hungary,151480,75316,11739.0,8618.0,3121.0,63577,5496.0,58081,0.0,9985722,15.169659239462103
16,2010,Malta,3520,67,67.0,67.0,0.0,0,0.0,0,0.0,414989,8.48215253898296
17,2010,Netherlands,518143,379076,10251.0,1282.0,8969.0,368825,86610.0,282215,0.0,16655799,31.10886484641175
18,2010,Austria,564604,193790,351.0,13.0,338.0,193439,126192.0,67247,0.0,8375164,67.41408287646667
19,2010,Poland,863236,339698,10452.0,10336.0,116.0,329246,17675.0,311571,0.0,38062718,22.679305245621187
20,2010,Portugal,165192,72359,10887.0,10847.0,40.0,61472,3596.0,57876,0.0,10572721,15.624360086679673
21,2010,Romania,407225,164308,6716.0,4860.0,1856.0,157592,17292.0,140300,0.0,20199059,20.16059262958735
22,2010,Slovenia,56280,43250,6129.0,5086.0,1043.0,37121,3998.0,33123,0.0,2050189,27.451127676521534
23,2010,Slovakia,111327,78890,23793.0,23728.0,65.0,55097,2756.0,52341,0.0,5392446,20.64499115985584
24,2010,Finland,71352,58715,15628.0,247.0,15381.0,43087,19724.0,23363,0.0,5375276,13.274109087607782
25,2010,Sweden,218839,130460,406.0,406.0,0.0,130054,84718.0,45336,0.0,9415570,23.24224661916379
26,2010,Iceland,4358,4359,10.0,10.0,0.0,4349,538.0,3811,0.0,318452,13.684950950221697
27,2010,Norway,88845,74718,21678.0,11372.0,10306.0,53040,36604.0,16436,0.0,4920305,18.056807454009455
28,2010,United Kingdom,2031292,890959,53855.0,53855.0,0.0,837104,0.0,837104,0.0,63022532,32.23120264352438
29,2010,Montenegro,5418,2471,1918.0,1918.0,0.0,553,2.0,551,0.0,619850,8.740824392998306
30,2010,North Macedonia,4031,3727,2382.0,2381.0,1.0,1345,0.0,1345,0.0,2057284,1.9593794536874831
31,2010,Serbia,6820,731,189.0,189.0,0.0,542,1.0,541,0.0,7251549,0.94048871489388
32,2010,Türkiye,217310,188465,0.0,,0.0,186791,12360.0,174431,0.0,73722988,2.947655892623343
33,2012,Belgium,651775,233124,16116.0,12913.0,3203.0,217008,17540.0,199468,0.0,11075889,58.84629215767691
